country_name,country_id
Angola,1
Argentina,2
Australia,3
Austria,4
Belgium,5
Botswana,6
Brazil,7
Canada,8
China,9
Czech Republic,10
Denmark,11
Egypt,12
France,13
Germany,14
Guatemala,15
Hong Kong,16
Hungary,17
India,18
Iran,19
Ireland,20
Japan,21
Kazakhstan,22
Luxembourg,23
Malaysia,24
Mexico,25
Namibia,26
New Zealand,27
Norway,28
Pakistan,29
Panama,30
Philippines,31
Poland,32
Russia,33
Singapore,34
Slovenia,35
South Africa,36
South Korea,37
Spain,38
Sweden,39
Switzerland,40
Syria,41
Taiwan,42
Tanzania,43
Thailand,44
United Arab Emirates,45
United Kingdom,46
United States,47
nan,48
